,transaction_id,customer_id,Preferred Cusine,age,dish,Qty,price_for_1,number_of_stayers,check_in_date,check_out_date,order_time,booked_through_points
18,15959270,109,Multi,60,South Indian Thali,2,500,1,2023-09-23 00:00:00,2023-09-26 22:21:19,2023-09-25 16:48:36,1
19,11077492,110,Multi,48,Breakfast thali,1,500,1,2023-09-10 00:00:00,2023-09-12 05:24:52,2023-09-10 18:29:27,0
20,12027513,111,South Indian,25,Breakfast thali,2,500,2,2023-11-06 00:00:00,2023-11-08 16:08:36,2023-11-06 07:27:04,1
21,14931202,112,North Indian,28,North Indian Thali,1,600,2,2024-07-13 00:00:00,2024-07-14 08:37:32,2024-07-13 14:41:23,1
22,14653954,113,South Indian,52,Breakfast thali,2,500,2,2023-02-25 00:00:00,2023-03-01 11:11:43,2023-02-26 02:49:38,1
23,2454546,114,Multi,19,Masala Dosa,2,150,3,2023-12-20 00:00:00,2023-12-24 09:23:39,2023-12-20 09:13:51,0
24,6133555,115,South Indian,25,Pasta,1,320,1,2023-01-01 00:00:00,2023-01-04 17:19:30,2023-01-03 08:30:14,0
25,10610962,116,North Indian,54,Aloo Paratha,1,200,1,2023-11-01 00:00:00,2023-11-04 20:02:42,2023-11-04 09:25:49,0
26,7877757,117,Multi,30,Roti Curry,1,100,1,2024-12-03 00:00:00,2024-12-06 23:03:14,2024-12-04 13:27:54,0
27,136131,118,North Indian,27,Filter Coffee,1,80,1,2024-10-11 00:00:00,2024-10-16 04:11:21,2024-10-15 07:04:57,0
28,5080875,119,Multi,50,Filter Coffee,1,80,1,2024-12-15 00:00:00,2024-12-16 16:15:58,2024-12-15 10:21:12,0
29,7418081,120,North Indian,29,Idli,2,75,1,2023-03-21 00:00:00,2023-03-23 04:30:31,2023-03-21 19:35:12,0
30,16433731,121,South Indian,33,Aloo Paratha,1,200,1,2024-03-24 00:00:00,2024-03-27 03:04:19,2024-03-25 23:40:24,0
31,1690218,122,South Indian,32,Aloo Paratha,1,200,1,2024-01-29 00:00:00,2024-02-02 00:49:11,2024-01-31 20:18:31,0
32,3198066,123,North Indian,32,Chinese Noodles,1,300,1,2024-10-28 00:00:00,2024-10-30 04:17:15,2024-10-29 15:46:25,0
33,10497789,124,South Indian,29,Vanilla Ice Cream,2,120,2,2024-01-08 00:00:00,2024-01-09 13:07:00,2024-01-08 12:05:20,0
34,7605147,125,North Indian,22,Chinese Noodles,2,300,2,2023-12-21 00:00:00,2023-12-22 13:00:51,2023-12-21 09:49:01,0
35,1632081,126,Multi,35,Palak Paneer,3,250,3,2023-01-13 00:00:00,2023-01-15 16:29:43,2023-01-14 06:00:42,0
36,15567009,127,North Indian,42,North Indian Thali,2,600,2,2024-09-01 00:00:00,2024-09-06 00:53:55,2024-09-03 11:08:42,0
37,404266,128,South Indian,27,South Indian Thali,1,500,1,2024-08-13 00:00:00,2024-08-15 20:16:21,2024-08-14 04:33:20,0
38,4393926,129,North Indian,39,Idli,4,75,3,2023-11-20 00:00:00,2023-11-24 23:12:00,2023-11-23 19:56:09,0
39,15119835,130,Multi,25,Breakfast thali,2,500,2,2024-01-04 00:00:00,2024-01-06 20:15:52,2024-01-05 19:06:46,1
40,15679993,131,North Indian,27,North Indian Thali,2,600,2,2023-06-12 00:00:00,2023-06-14 16:34:04,2023-06-13 03:59:30,1
41,16153705,132,South Indian,47,Breakfast thali,1,500,2,2023-09-17 00:00:00,2023-09-19 18:21:33,2023-09-18 08:23:24,1
42,13032371,133,Multi,60,South Indian Thali,2,500,1,2023-06-25 00:00:00,2023-06-28 12:47:45,2023-06-27 19:14:50,1
43,5559982,134,South Indian,24,Roti Curry,1,100,1,2024-08-17 00:00:00,2024-08-24 06:11:16,2024-08-18 08:45:42,0
44,1904719,135,North Indian,48,Chocolate Cake,1,200,1,2024-07-31 00:00:00,2024-08-02 03:56:59,2024-08-01 13:04:06,0
45,11281165,136,Multi,27,Utthappam,2,150,1,2023-07-17 00:00:00,2023-07-18 15:36:13,2023-07-17 14:01:34,0
46,12936792,137,North Indian,27,Masala Dosa,2,150,1,2024-09-16 00:00:00,2024-09-18 14:59:40,2024-09-16 11:15:27,0
47,2834973,138,South Indian,45,North Indian Thali,1,600,1,2024-11-22 00:00:00,2024-11-27 04:49:11,2024-11-23 05:00:14,0
48,11430834,139,South Indian,31,Breakfast thali,1,500,1,2023-01-10 00:00:00,2023-01-12 11:38:42,2023-01-11 05:30:38,1
49,8642845,140,North Indian,35,Palak Paneer,2,250,2,2024-04-22 00:00:00,2024-04-25 21:58:26,2024-04-25 03:24:53,0
50,9720214,141,South Indian,44,Filter Coffee,1,80,2,2024-04-27 00:00:00,2024-05-01 11:33:03,2024-04-29 19:04:11,0
51,10963022,142,South Indian,40,North Indian Thali,2,600,2,2024-03-15 00:00:00,2024-03-18 06:37:13,2024-03-16 03:11:10,0
52,7754594,143,Multi,28,Filter Coffee,2,80,2,2024-10-04 00:00:00,2024-10-08 02:11:34,2024-10-06 01:34:34,0
53,4317614,144,South Indian,29,Aloo Paratha,1,200,1,2024-04-01 00:00:00,2024-04-04 22:00:27,2024-04-02 04:53:11,0
54,3389309,145,South Indian,41,Chinese Noodles,1,300,1,2023-02-26 00:00:00,2023-03-01 08:12:56,2023-02-27 21:24:12,0
55,10687699,146,Multi,23,Utthappam,2,150,1,2024-05-15 00:00:00,2024-05-16 13:44:56,2024-05-16 12:51:48,0
56,8027127,147,North Indian,35,Chinese Noodles,2,300,1,2023-01-01 00:00:00,2023-01-02 14:18:30,2023-01-01 22:21:16,0
57,15407356,148,South Indian,26,Palak Paneer,2,250,2,2023-09-28 00:00:00,2023-10-04 21:55:23,2023-09-30 19:55:50,0
58,11090103,149,North Indian,29,Roti Curry,2,100,1,2023-09-13 00:00:00,2023-09-15 20:45:03,2023-09-15 10:27:56,0
59,1611375,150,North Indian,52,Breakfast thali,2,500,2,2023-03-31 00:00:00,2023-04-06 19:02:43,2023-04-03 17:37:45,0
60,15704742,151,North Indian,48,Breakfast thali,2,500,2,2024-12-16 00:00:00,2024-12-17 15:03:36,2024-12-16 18:37:52,1
61,6212347,152,Multi,26,Chinese Noodles,3,300,3,2024-02-25 00:00:00,2024-02-26 03:40:49,2024-02-25 02:21:55,0
62,4714488,153,North Indian,29,Utthappam,3,150,3,2024-01-28 00:00:00,2024-02-01 10:15:20,2024-01-29 04:08:19,1
63,9945711,154,Multi,20,Chinese Noodles,2,300,1,2023-04-13 00:00:00,2023-04-15 05:19:41,2023-04-13 15:32:43,0
64,7683505,155,Multi,28,Masala Dosa,2,150,2,2024-09-30 00:00:00,2024-10-03 10:28:17,2024-10-01 14:09:47,0
65,813168,156,South Indian,28,Chocolate Cake,3,200,3,2023-02-14 00:00:00,2023-02-17 15:33:17,2023-02-17 04:01:18,0
66,16594701,157,South Indian,23,Idli,2,75,2,2023-12-17 00:00:00,2023-12-20 07:22:07,2023-12-18 14:23:14,0
67,8888400,158,Multi,28,Chinese Noodles,2,300,1,2024-05-05 00:00:00,2024-05-06 11:42:46,2024-05-05 03:15:43,0
68,6569109,159,Multi,34,Chinese Noodles,1,300,1,2024-10-18 00:00:00,2024-10-20 04:19:34,2024-10-19 06:27:10,0
69,3424445,160,North Indian,24,Breakfast thali,2,500,1,2023-06-11 00:00:00,2023-06-15 07:28:04,2023-06-13 04:06:46,1
70,8303777,161,North Indian,28,Masala Dosa,2,150,1,2024-03-30 00:00:00,2024-04-02 18:47:20,2024-04-01 20:38:46,0
71,393680,162,North Indian,20,Utthappam,3,150,3,2023-02-12 00:00:00,2023-02-16 23:31:03,2023-02-14 11:14:20,0
72,16115395,163,North Indian,42,Chinese Noodles,1,300,1,2023-05-09 00:00:00,2023-05-11 16:52:24,2023-05-10 12:57:21,0
73,15840355,164,North Indian,32,Pasta,2,320,1,2023-10-27 00:00:00,2023-10-29 09:38:11,2023-10-28 11:32:01,0
74,15551324,165,South Indian,48,Utthappam,1,150,1,2024-10-29 00:00:00,2024-10-31 15:26:55,2024-10-30 10:55:36,0
75,428517,166,Multi,22,South Indian Thali,2,500,2,2023-02-07 00:00:00,2023-02-09 18:12:28,2023-02-07 21:18:34,1
76,16414331,167,South Indian,43,South Indian Thali,1,500,1,2024-09-27 00:00:00,2024-09-29 19:43:28,2024-09-28 10:57:07,0
77,15351064,168,Multi,20,Masala Dosa,1,150,1,2024-11-21 00:00:00,2024-11-22 19:22:59,2024-11-21 11:51:27,1
78,452024,169,North Indian,27,Breakfast thali,2,500,3,2024-09-29 00:00:00,2024-10-05 23:08:53,2024-09-30 21:52:16,0
79,15496523,170,Multi,57,Palak Paneer,3,250,2,2023-09-26 00:00:00,2023-09-28 10:57:30,2023-09-27 10:50:05,0
80,5585186,171,Multi,59,Chinese Noodles,1,300,2,2024-08-13 00:00:00,2024-08-15 14:31:47,2024-08-14 08:53:11,0
81,16672746,172,South Indian,31,Chinese Noodles,2,300,2,2023-07-11 00:00:00,2023-07-12 17:36:11,2023-07-11 06:51:26,0
82,14897641,173,South Indian,48,Vanilla Ice Cream,2,120,1,2023-02-28 00:00:00,2023-03-01 07:38:55,2023-02-28 08:55:59,0
83,15474599,174,Multi,50,Vanilla Ice Cream,2,120,1,2023-10-14 00:00:00,2023-10-18 05:46:17,2023-10-16 08:57:04,0
84,9818164,175,South Indian,22,Idli,1,75,1,2024-07-27 00:00:00,2024-07-31 10:39:25,2024-07-29 12:14:02,0
85,15457081,176,Multi,25,Chocolate Cake,2,200,1,2024-10-29 00:00:00,2024-10-31 23:32:11,2024-10-30 08:56:35,1
86,863706,177,Multi,35,Masala Dosa,1,150,2,2024-11-09 00:00:00,2024-11-11 14:56:47,2024-11-09 19:45:36,1
87,13250610,178,Multi,26,Masala Dosa,1,150,1,2024-01-27 00:00:00,2024-01-30 09:43:35,2024-01-28 08:01:20,0
88,8168195,179,North Indian,30,Chocolate Cake,2,200,2,2024-11-16 00:00:00,2024-11-18 02:08:04,2024-11-16 20:49:06,1
89,13695032,180,North Indian,33,Filter Coffee,1,80,1,2023-05-13 00:00:00,2023-05-16 23:25:28,2023-05-13 23:09:54,0
90,6908453,181,South Indian,31,Filter Coffee,1,80,1,2024-03-02 00:00:00,2024-03-04 21:34:03,2024-03-02 20:24:09,0
91,8156831,182,North Indian,27,Roti Curry,1,100,1,2023-04-09 00:00:00,2023-04-11 20:10:41,2023-04-09 03:52:58,0
92,12803924,183,South Indian,26,Utthappam,1,150,1,2023-10-09 00:00:00,2023-10-12 20:42:56,2023-10-11 01:45:53,0
93,2763640,184,South Indian,39,Masala Dosa,1,150,1,2024-04-03 00:00:00,2024-04-08 10:08:20,2024-04-08 06:18:52,0
94,13268692,185,South Indian,47,Idli,1,75,1,2023-12-20 00:00:00,2023-12-26 15:54:40,2023-12-25 10:37:35,0
95,4900654,186,South Indian,42,Chinese Noodles,2,300,1,2024-02-04 00:00:00,2024-02-07 05:46:02,2024-02-05 00:00:47,0
96,7416473,187,North Indian,20,Chocolate Cake,2,200,3,2024-04-15 00:00:00,2024-04-17 23:33:57,2024-04-15 13:00:44,1
97,10761204,188,South Indian,18,Idli,3,75,3,2024-04-28 00:00:00,2024-05-03 07:14:12,2024-04-30 00:27:03,0
98,11708927,189,North Indian,25,Filter Coffee,1,80,1,2024-10-23 00:00:00,2024-10-25 16:25:01,2024-10-24 19:31:18,0
99,5270551,190,South Indian,43,Idli,2,75,3,2023-04-04 00:00:00,2023-04-06 03:15:56,2023-04-04 14:10:01,0
100,11410127,191,North Indian,33,Vanilla Ice Cream,1,120,1,2023-03-20 00:00:00,2023-03-26 03:06:11,2023-03-23 03:43:47,0
101,2209283,192,South Indian,29,Idli,2,75,1,2024-11-08 00:00:00,2024-11-10 11:40:51,2024-11-09 18:17:42,0
102,7703010,193,South Indian,32,Roti Curry,2,100,1,2024-02-28 00:00:00,2024-03-01 02:20:25,2024-02-29 01:25:20,0
103,9326682,194,Multi,27,North Indian Thali,1,600,1,2023-12-01 00:00:00,2023-12-04 13:01:18,2023-12-04 11:49:49,1
104,3449702,195,South Indian,50,Breakfast thali,1,500,1,2024-05-30 00:00:00,2024-06-01 20:08:47,2024-06-01 15:59:01,1
105,2631408,196,North Indian,53,Idli,2,75,1,2024-08-12 00:00:00,2024-08-14 16:11:34,2024-08-12 14:04:08,0
106,16448865,197,Multi,57,Aloo Paratha,1,200,1,2023-01-01 00:00:00,2023-01-06 02:11:36,2023-01-05 16:02:10,0
107,5528127,198,Multi,26,Masala Dosa,2,150,2,2024-02-06 00:00:00,2024-02-09 12:17:42,2024-02-09 00:02:56,0
108,9516782,199,Multi,19,Filter Coffee,2,80,2,2023-04-27 00:00:00,2023-05-01 04:47:10,2023-04-28 08:02:14,0
109,3633218,200,North Indian,32,Utthappam,1,150,1,2024-11-08 00:00:00,2024-11-11 08:57:41,2024-11-09 02:36:00,0
110,8631987,201,Multi,31,Utthappam,1,150,1,2024-07-14 00:00:00,2024-07-17 03:54:07,2024-07-14 19:57:01,0
111,1762062,202,South Indian,32,North Indian Thali,2,600,1,2023-01-12 00:00:00,2023-01-16 20:40:50,2023-01-14 12:13:22,1
112,2759551,203,South Indian,27,Chocolate Cake,1,200,1,2024-12-14 00:00:00,2024-12-16 10:56:52,2024-12-15 05:35:36,0
113,5196475,204,North Indian,37,Breakfast thali,1,500,1,2024-11-01 00:00:00,2024-11-02 22:06:39,2024-11-02 04:09:22,0
114,6759682,205,Multi,57,Filter Coffee,3,80,3,2024-03-13 00:00:00,2024-03-15 05:57:17,2024-03-14 09:45:35,0
115,7308225,206,North Indian,31,Idli,4,75,3,2023-02-14 00:00:00,2023-02-16 23:25:31,2023-02-15 12:14:43,0
116,5589478,207,North Indian,36,Masala Dosa,2,150,2,2023-01-27 00:00:00,2023-01-31 12:55:08,2023-01-30 14:43:29,0
117,6350209,208,North Indian,37,Pasta,2,320,2,2024-08-22 00:00:00,2024-08-23 07:35:02,2024-08-22 06:35:47,0
118,2380665,209,Multi,41,Breakfast thali,1,500,1,2023-04-18 00:00:00,2023-04-22 21:15:15,2023-04-22 01:03:05,1
119,15099033,210,Multi,21,Masala Dosa,1,150,1,2024-02-19 00:00:00,2024-02-21 02:11:19,2024-02-19 06:12:07,0
120,12990215,211,South Indian,29,Palak Paneer,3,250,3,2023-05-01 00:00:00,2023-05-02 23:52:36,2023-05-01 15:08:28,0
121,15653678,212,South Indian,27,Filter Coffee,1,80,1,2024-02-22 00:00:00,2024-02-25 10:19:46,2024-02-24 04:05:51,0
122,12706510,213,North Indian,26,Palak Paneer,2,250,1,2024-08-10 00:00:00,2024-08-11 08:02:39,2024-08-10 09:33:39,0
123,511768,214,Multi,23,Chinese Noodles,1,300,1,2024-05-05 00:00:00,2024-05-06 10:08:32,2024-05-05 07:39:34,0
124,372422,215,South Indian,34,Breakfast thali,1,500,1,2024-06-24 00:00:00,2024-06-25 19:24:09,2024-06-25 00:16:47,0
125,15819478,216,South Indian,29,Masala Dosa,1,150,1,2024-10-10 00:00:00,2024-10-12 09:15:13,2024-10-10 13:00:41,0
126,5673163,217,North Indian,30,Idli,1,75,1,2023-10-27 00:00:00,2023-10-30 22:07:24,2023-10-28 14:39:28,0
127,3535185,218,South Indian,35,Filter Coffee,2,80,1,2023-09-13 00:00:00,2023-09-15 09:39:26,2023-09-14 06:02:45,0
128,4177973,219,North Indian,53,Utthappam,2,150,1,2024-04-02 00:00:00,2024-04-04 00:35:15,2024-04-03 03:09:35,0
129,11975225,220,North Indian,35,Pasta,1,320,1,2024-08-21 00:00:00,2024-08-23 11:23:52,2024-08-21 17:21:13,0
130,15690939,221,Multi,39,Utthappam,1,150,1,2023-11-25 00:00:00,2023-11-26 23:06:04,2023-11-25 15:16:56,0
131,12934923,222,Multi,17,Idli,2,75,1,2024-08-29 00:00:00,2024-09-01 10:31:43,2024-08-31 01:23:28,0
132,6328252,223,North Indian,25,Chinese Noodles,4,300,3,2024-03-15 00:00:00,2024-03-20 03:00:44,2024-03-18 18:27:06,0
133,3582118,224,Multi,45,South Indian Thali,1,500,1,2023-11-21 00:00:00,2023-11-23 17:17:17,2023-11-22 19:48:11,1
134,11081460,225,South Indian,27,Chocolate Cake,3,200,3,2024-07-12 00:00:00,2024-07-16 00:45:36,2024-07-13 05:05:13,0
135,10526058,226,South Indian,26,Utthappam,1,150,1,2024-04-05 00:00:00,2024-04-07 11:38:47,2024-04-06 04:21:24,0
136,16537586,227,North Indian,34,Breakfast thali,2,500,1,2024-01-08 00:00:00,2024-01-10 02:08:50,2024-01-09 11:10:36,1
137,3104057,228,Multi,31,Chocolate Cake,3,200,3,2024-11-07 00:00:00,2024-11-08 23:48:47,2024-11-07 08:51:22,0
138,2480368,229,North Indian,29,Masala Dosa,3,150,3,2023-06-06 00:00:00,2023-06-09 13:14:31,2023-06-07 08:39:20,0
139,16056869,230,Multi,29,Chocolate Cake,1,200,1,2023-12-23 00:00:00,2023-12-26 21:01:49,2023-12-25 02:44:31,1
140,2048649,231,South Indian,27,Idli,2,75,2,2023-04-06 00:00:00,2023-04-12 11:43:49,2023-04-08 03:23:16,1
141,11090184,232,South Indian,50,Masala Chai,3,80,3,2024-05-25 00:00:00,2024-05-26 12:50:40,2024-05-25 10:28:34,0
142,11945021,233,South Indian,44,Roti Curry,2,100,2,2024-12-14 00:00:00,2024-12-16 15:10:02,2024-12-14 21:07:26,0
143,10305431,234,South Indian,27,Palak Paneer,1,250,1,2023-05-30 00:00:00,2023-05-31 23:38:42,2023-05-31 11:12:36,1
144,14477940,235,South Indian,23,Roti Curry,3,100,3,2023-11-18 00:00:00,2023-11-20 23:18:05,2023-11-18 06:34:36,0
145,5692597,236,North Indian,25,Chinese Noodles,2,300,2,2024-05-11 00:00:00,2024-05-14 23:17:19,2024-05-13 21:19:31,1
146,4312067,237,Multi,59,Idli,3,75,3,2024-08-03 00:00:00,2024-08-06 12:54:58,2024-08-04 16:54:00,0
147,5719588,238,Multi,33,Vanilla Ice Cream,2,120,1,2024-09-03 00:00:00,2024-09-04 21:21:40,2024-09-03 22:28:53,0
148,5865961,239,Multi,23,Aloo Paratha,2,200,1,2023-04-20 00:00:00,2023-04-22 04:06:20,2023-04-20 16:27:20,0
149,7587473,240,South Indian,29,Aloo Paratha,2,200,2,2024-01-30 00:00:00,2024-02-03 13:02:45,2024-01-31 20:57:48,0
150,15087415,241,Multi,30,Utthappam,1,150,1,2024-09-26 00:00:00,2024-09-27 10:54:29,2024-09-26 07:19:46,0
151,6916944,242,Multi,60,Aloo Paratha,2,200,1,2023-06-11 00:00:00,2023-06-17 22:20:25,2023-06-13 21:55:01,0
152,14494387,243,North Indian,33,Roti Curry,2,100,1,2023-08-08 00:00:00,2023-08-09 23:42:32,2023-08-08 05:54:45,0
153,2371639,244,South Indian,53,North Indian Thali,1,600,1,2024-10-30 00:00:00,2024-11-01 21:58:05,2024-10-31 11:56:33,1
154,11181210,245,South Indian,31,Masala Chai,2,80,2,2024-06-03 00:00:00,2024-06-05 20:31:50,2024-06-04 03:28:48,0
155,12923925,246,North Indian,45,North Indian Thali,2,600,1,2023-03-19 00:00:00,2023-03-22 02:41:42,2023-03-20 11:45:56,1
156,1359625,247,Multi,25,Chinese Noodles,1,300,2,2023-12-23 00:00:00,2023-12-27 20:55:26,2023-12-24 19:09:31,0
157,10829034,248,Multi,25,Filter Coffee,2,80,1,2023-10-26 00:00:00,2023-10-30 05:17:08,2023-10-27 12:34:06,0
158,6046241,249,North Indian,34,Filter Coffee,2,80,2,2023-12-18 00:00:00,2023-12-21 00:49:27,2023-12-18 19:11:10,0
159,14295687,250,South Indian,38,Vanilla Ice Cream,1,120,1,2024-07-22 00:00:00,2024-07-23 02:30:46,2024-07-22 05:08:42,0
160,14648130,251,North Indian,38,Chinese Noodles,2,300,1,2024-11-25 00:00:00,2024-11-28 19:05:54,2024-11-26 06:50:22,0
161,15267232,252,South Indian,21,Palak Paneer,3,250,2,2024-08-28 00:00:00,2024-09-01 22:07:03,2024-08-30 07:56:29,1
162,497212,253,South Indian,47,Filter Coffee,3,80,3,2024-03-30 00:00:00,2024-04-02 20:29:24,2024-04-02 13:52:46,0
163,5024588,254,Multi,17,Idli,3,75,3,2023-02-13 00:00:00,2023-02-15 20:53:14,2023-02-13 11:03:14,0
164,3591555,255,North Indian,32,Idli,1,75,1,2024-06-10 00:00:00,2024-06-11 20:24:26,2024-06-10 10:24:45,1
165,14615054,256,South Indian,23,Palak Paneer,2,250,1,2023-08-26 00:00:00,2023-08-30 04:09:37,2023-08-27 20:26:55,0
166,10333481,257,South Indian,46,Palak Paneer,2,250,1,2024-09-29 00:00:00,2024-10-01 03:53:03,2024-10-01 02:47:56,0
167,6447581,258,South Indian,50,Idli,1,75,1,2023-09-24 00:00:00,2023-09-26 10:59:28,2023-09-24 16:26:39,0
168,16656549,259,Multi,51,Idli,3,75,3,2023-03-27 00:00:00,2023-03-31 21:20:17,2023-03-30 10:37:04,0
169,4959073,260,South Indian,24,Utthappam,1,150,1,2024-01-17 00:00:00,2024-01-19 21:49:57,2024-01-18 08:50:33,0
170,5992743,261,North Indian,26,Utthappam,1,150,2,2024-10-28 00:00:00,2024-10-31 21:47:04,2024-10-29 14:30:26,0
171,12739284,262,North Indian,28,Pasta,2,320,1,2023-11-08 00:00:00,2023-11-11 01:31:38,2023-11-09 18:00:29,0
172,9866496,263,South Indian,27,Filter Coffee,2,80,2,2024-09-01 00:00:00,2024-09-04 11:03:42,2024-09-02 07:16:37,1
173,3412500,264,North Indian,52,Chocolate Cake,2,200,1,2024-12-05 00:00:00,2024-12-07 20:26:05,2024-12-05 12:37:33,0
174,3885761,265,South Indian,38,Utthappam,2,150,1,2023-08-22 00:00:00,2023-08-25 22:41:44,2023-08-22 17:48:43,0
175,8090579,266,Multi,24,Chinese Noodles,2,250,2,2023-01-12 00:00:00,2023-01-14 21:06:55,2023-01-13 00:33:37,1
176,328727,267,North Indian,26,Palak Paneer,1,250,1,2024-06-18 00:00:00,2024-06-19 17:16:27,2024-06-18 18:10:22,0
177,11512999,268,North Indian,34,Breakfast thali,2,500,2,2024-06-02 00:00:00,2024-06-05 18:49:41,2024-06-03 20:38:15,1
178,11592655,269,Multi,53,Breakfast thali,2,500,1,2024-10-10 00:00:00,2024-10-13 04:26:30,2024-10-12 09:20:32,1
179,589313,270,Multi,50,Idli,2,75,1,2023-05-04 00:00:00,2023-05-09 15:14:10,2023-05-07 06:55:36,0
180,5741743,271,Multi,50,Palak Paneer,3,250,3,2024-05-23 00:00:00,2024-05-30 01:17:05,2024-05-25 01:36:41,0
181,11049979,272,South Indian,53,North Indian Thali,2,600,2,2024-12-16 00:00:00,2024-12-19 03:36:10,2024-12-17 00:03:50,1
182,6168240,273,Multi,53,North Indian Thali,2,600,2,2023-09-06 00:00:00,2023-09-08 08:07:42,2023-09-06 12:41:34,0
183,2542943,274,North Indian,25,South Indian Thali,1,500,1,2023-12-06 00:00:00,2023-12-07 09:33:03,2023-12-06 21:36:16,0
184,15967765,275,North Indian,19,Utthappam,1,150,2,2024-12-06 00:00:00,2024-12-09 22:54:23,2024-12-07 07:28:30,0
185,1937815,276,North Indian,28,Palak Paneer,1,250,1,2024-10-19 00:00:00,2024-10-21 21:27:00,2024-10-19 09:31:25,0
186,12247731,277,Multi,50,Idli,1,75,1,2024-11-10 00:00:00,2024-11-13 19:06:49,2024-11-11 08:51:09,0
187,3657806,278,Multi,34,South Indian Thali,3,500,3,2023-11-23 00:00:00,2023-11-25 00:18:35,2023-11-23 14:49:30,0
188,10540618,279,South Indian,23,Aloo Paratha,2,200,1,2023-04-23 00:00:00,2023-04-25 16:19:40,2023-04-23 22:14:20,0
189,14419410,280,South Indian,60,North Indian Thali,1,600,1,2024-03-19 00:00:00,2024-03-21 09:28:36,2024-03-19 16:58:48,1
190,11731783,281,South Indian,42,Breakfast thali,2,500,2,2024-11-14 00:00:00,2024-11-20 12:42:39,2024-11-16 08:30:10,0
191,7717467,282,South Indian,35,Roti Curry,1,100,1,2023-07-09 00:00:00,2023-07-14 12:23:14,2023-07-12 02:31:52,0
192,10867928,283,South Indian,23,Idli,2,75,1,2023-01-10 00:00:00,2023-01-12 12:07:24,2023-01-10 16:48:40,0
193,6314005,284,Multi,16,Idli,2,75,2,2024-10-02 00:00:00,2024-10-04 01:29:05,2024-10-03 13:49:26,0
194,9679145,285,South Indian,45,South Indian Thali,2,500,1,2023-04-06 00:00:00,2023-04-11 21:15:38,2023-04-11 13:09:23,1
195,11352878,286,North Indian,29,Chinese Noodles,1,250,1,2023-11-12 00:00:00,2023-11-18 08:34:55,2023-11-13 11:00:32,0
196,2428303,287,Multi,56,Palak Paneer,1,250,1,2024-09-03 00:00:00,2024-09-09 06:40:50,2024-09-05 16:05:33,0
197,6152238,288,North Indian,22,Aloo Paratha,2,200,1,2023-08-16 00:00:00,2023-08-17 17:26:39,2023-08-16 22:41:43,1
198,7624448,289,North Indian,19,Vanilla Ice Cream,1,120,1,2024-04-16 00:00:00,2024-04-18 16:13:05,2024-04-16 12:58:58,0
199,4318264,290,South Indian,18,Utthappam,2,150,1,2024-10-29 00:00:00,2024-11-01 02:52:32,2024-10-29 16:49:14,0
